Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2023-09-08,3625.0,3610.0,3624.0,3609,19.0,2023-09-08
2023-09-11,3618.0,3618.0,3618.0,3611,5.0,2023-09-11
2023-09-12,3808.0,3650.0,3650.0,3772,22.0,2023-09-12
2023-09-13,3874.0,3853.0,3853.0,3849,3.0,2023-09-13
2023-09-14,,,,3853,,2023-09-14
2023-09-15,3763.0,3725.0,3738.0,3757,14101.0,2023-09-15
2023-09-18,3754.0,3613.0,3747.0,3621,29765.0,2023-09-18
2023-09-19,3688.0,3633.0,3640.0,3642,22497.0,2023-09-19
2023-09-20,3625.0,3555.0,3614.0,3570,25702.0,2023-09-20
2023-09-21,3609.0,3553.0,3576.0,3595,21421.0,2023-09-21
2023-09-22,3643.0,3565.0,3595.0,3582,20986.0,2023-09-22
2023-09-25,3583.0,3491.0,3583.0,3496,23820.0,2023-09-25
2023-09-26,3539.0,3488.0,3500.0,3500,19988.0,2023-09-26
2023-09-27,3489.0,3398.0,3489.0,3416,32686.0,2023-09-27
2023-09-28,3471.0,3425.0,3431.0,3459,23340.0,2023-09-28
2023-09-29,3484.0,3402.0,3457.0,3418,25999.0,2023-09-29
2023-10-02,3525.0,3432.0,3432.0,3502,27425.0,2023-10-02
2023-10-03,3508.0,3414.0,3487.0,3428,22599.0,2023-10-03
2023-10-04,3453.0,3410.0,3414.0,3431,15882.0,2023-10-04
2023-10-05,3445.0,3375.0,3438.0,3400,22992.0,2023-10-05
2023-10-06,3469.0,3373.0,3392.0,3453,22147.0,2023-10-06
2023-10-09,3465.0,3406.0,3460.0,3435,14886.0,2023-10-09
2023-10-10,3479.0,3432.0,3444.0,3474,15117.0,2023-10-10
2023-10-11,3490.0,3426.0,3485.0,3432,14216.0,2023-10-11
2023-10-12,3503.0,3460.0,3480.0,3490,19367.0,2023-10-12
2023-10-13,3514.0,3455.0,3488.0,3499,17559.0,2023-10-13
2023-10-16,3613.0,3506.0,3513.0,3591,30432.0,2023-10-16
2023-10-17,3642.0,3570.0,3584.0,3635,20606.0,2023-10-17
2023-10-18,3672.0,3615.0,3627.0,3639,23508.0,2023-10-18
2023-10-19,3700.0,3630.0,3660.0,3648,21540.0,2023-10-19
2023-10-20,3710.0,3603.0,3616.0,3694,20399.0,2023-10-20
2023-10-23,3786.0,3715.0,3726.0,3759,20738.0,2023-10-23
2023-10-24,3778.0,3701.0,3774.0,3729,23275.0,2023-10-24
2023-10-25,3781.0,3716.0,3722.0,3735,19776.0,2023-10-25
2023-10-26,3837.0,3732.0,3739.0,3810,22206.0,2023-10-26
2023-10-27,3871.0,3808.0,3812.0,3852,22900.0,2023-10-27
2023-10-30,3880.0,3810.0,3860.0,3826,16837.0,2023-10-30
2023-10-31,3874.0,3795.0,3839.0,3817,22845.0,2023-10-31
2023-11-01,3825.0,3781.0,3806.0,3794,16708.0,2023-11-01
2023-11-02,3867.0,3809.0,3810.0,3865,19046.0,2023-11-02
2023-11-03,3906.0,3823.0,3859.0,3898,25573.0,2023-11-03
2023-11-06,3954.0,3865.0,3900.0,3914,45901.0,2023-11-06
2023-11-07,3969.0,3866.0,3935.0,3883,34321.0,2023-11-07
2023-11-08,3933.0,3844.0,3885.0,3916,35999.0,2023-11-08
2023-11-09,3974.0,3924.0,3935.0,3949,19754.0,2023-11-09
2023-11-10,4012.0,3942.0,3942.0,3991,18417.0,2023-11-10
2023-11-13,4060.0,3990.0,3998.0,4051,12766.0,2023-11-13
2023-11-14,4110.0,3914.0,4067.0,3946,21864.0,2023-11-14
2023-11-15,3969.0,3886.0,3925.0,3939,10180.0,2023-11-15
2023-11-16,4040.0,3974.0,3974.0,4004,7246.0,2023-11-16
2023-11-17,4091.0,4002.0,4003.0,4083,8589.0,2023-11-17
2023-11-20,4099.0,4021.0,4069.0,4034,10602.0,2023-11-20
2023-11-21,4267.0,4046.0,4050.0,4227,9761.0,2023-11-21
2023-11-22,4260.0,4160.0,4253.0,4173,713.0,2023-11-22
2023-11-24,4251.0,4235.0,4251.0,4219,33.0,2023-11-24
2023-11-27,4267.0,4220.0,4220.0,4260,321.0,2023-11-27
2023-11-28,4381.0,4263.0,4291.0,4370,86.0,2023-11-28
2023-11-29,4419.0,4375.0,4375.0,4438,12.0,2023-11-29
2023-11-30,4463.0,4428.0,4428.0,4475,15.0,2023-11-30
2023-12-01,4428.0,4399.0,4428.0,4398,14.0,2023-12-01
2023-12-04,4253.0,4253.0,4253.0,4271,15.0,2023-12-04
2023-12-05,4240.0,4240.0,4240.0,4206,7.0,2023-12-05
2023-12-06,4230.0,4206.0,4206.0,4241,39.0,2023-12-06
2023-12-07,4366.0,4366.0,4366.0,4340,1.0,2023-12-07
2023-12-08,,,,4381,,2023-12-08
2023-12-11,4419.0,4388.0,4419.0,4351,5.0,2023-12-11
2023-12-12,4478.0,4456.0,4478.0,4375,6.0,2023-12-12
2023-12-13,,,,4395,,2023-12-13
2023-12-14,4317.0,4237.0,4270.0,4267,25216.0,2023-12-14
2023-12-15,4282.0,4231.0,4273.0,4244,19048.0,2023-12-15
2023-12-18,4307.0,4241.0,4255.0,4271,18493.0,2023-12-18
2023-12-19,4307.0,4254.0,4285.0,4289,16193.0,2023-12-19
2023-12-20,4334.0,4271.0,4288.0,4309,16998.0,2023-12-20
2023-12-21,4320.0,4267.0,4300.0,4288,20606.0,2023-12-21
2023-12-22,4325.0,4275.0,4277.0,4311,12715.0,2023-12-22
2023-12-26,4343.0,4276.0,4320.0,4283,9121.0,2023-12-26
2023-12-27,4315.0,4277.0,4296.0,4280,12495.0,2023-12-27
2023-12-28,4302.0,4235.0,4288.0,4256,16113.0,2023-12-28
2023-12-29,4256.0,4193.0,4256.0,4196,18596.0,2023-12-29
2024-01-02,4287.0,4200.0,4209.0,4275,24130.0,2024-01-02
2024-01-03,4273.0,4204.0,4265.0,4238,25190.0,2024-01-03
2024-01-04,4267.0,4232.0,4233.0,4260,15720.0,2024-01-04
2024-01-05,4274.0,4194.0,4260.0,4204,19627.0,2024-01-05
2024-01-08,4194.0,4034.0,4194.0,4094,53188.0,2024-01-08
2024-01-09,4202.0,4092.0,4110.0,4162,28725.0,2024-01-09
2024-01-10,4235.0,4156.0,4171.0,4206,22852.0,2024-01-10
